name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
P Prasanth,ddb00822,P Prasanth,P Prasanth,32211.0,
S Sohal,3fca55af,S Sohal,S Sohal,228943.0,
CK Langeveldt,d1c94b25,CK Langeveldt,CK Langeveldt,45963.0,
JJ van der Wath,6821ac10,JJ van der Wath,JJ van der Wath,47693.0,
SJ Srivastava,2049f3a0,SJ Srivastava,SJ Srivastava,34245.0,
Y Gnaneswara Rao,bae11797,Y Gnaneswara Rao,Y Gnaneswara Rao,28830.0,
A Symonds,bd77eb62,A Symonds,A Symonds,7702.0,
PR Shah,0aadc906,PR Shah,PR Shah,34282.0,
SK Warne,bb18be76,SK Warne,SK Warne,8166.0,
AM Saheba,883e3818,AM Saheba,AM Saheba,34544.0,
KH Devdhar,62e07f92,KH Devdhar,KH Devdhar,340063.0,
SL Shastri,53ef012d,SL Shastri,SL Shastri,33977.0,
A Chaudhary,ffead9c2,A Chaudhary,A Chaudhary,307813.0,
CA Ingram,c995d726,CA Ingram,CA Ingram,45705.0,
